type: tether
name: "Discovery"
description:"flying unit able to carry big payloads and can bolt forward a massive distance."
health: 500
armor: 1
speed: 1
range: 180
buildSpeed: 0
payloadCapacity: 625
drag: 0.03
accel: 0.1
engineSize: 0
flying: true
itemCapacity: 100
pickupUnits: true
outlineColor: 2c2d38

// mech pad module
mineSpeed: 0
buildSpeed: 0.65
commands:[mine]
allowChangeCommands: false
logicControllable: false
playerControllable: true
controlSelectGlobal: false
autoFindTarget: false
targetPriority: -0.1
range: 0.1
targetAir: false
targetGround: false
defaultCommand: mine
immunities:[rallied]
